,Date,Région,Consommation (MW),Shortage,Person Blackout,Person Blackout Percentage,warm month
95,2013-01-08,Île-de-France,525381.0,69.0,1604.0318226201557,0.00013133326100487076,0.0
96,2013-01-09,Auvergne-Rhône-Alpes,489207.0,181.0,2957.8421383994914,0.00036998652921973725,0.0
97,2013-01-09,Bourgogne-Franche-Comté,161345.0,144.0,2505.9605689671203,0.0008924974433666987,0.0
98,2013-01-09,Bretagne,162355.0,72.0,1479.1648424748237,0.00044347263712235535,0.0
99,2013-01-09,Centre-Val de Loire,146992.0,88.0,1540.2951453140306,0.000598672036573419,0.0
100,2013-01-09,Grand Est,328930.0,177.0,2986.711011461405,0.0005381084121241601,0.0
101,2013-01-09,Hauts-de-France,353146.0,175.0,2975.3102116405116,0.0004955457516154792,0.0
102,2013-01-09,Normandie,208739.0,158.0,2518.6542332769627,0.0007569261134718475,0.0
103,2013-01-09,Nouvelle-Aquitaine,329967.0,204.0,3696.9597323368703,0.0006182436425460729,0.0
104,2013-01-09,Occitanie,290562.0,183.0,3706.767464430999,0.0006298139467652343,0.0
105,2013-01-09,Pays de la Loire,205382.0,115.0,2117.340589730356,0.000559932223856034,0.0
106,2013-01-09,Provence-Alpes-Côte d'Azur,283434.0,103.0,1836.2006534149043,0.00036340029777655466,0.0
107,2013-01-09,Île-de-France,540858.0,94.0,2122.6717881588143,0.0001737979284766057,0.0
108,2013-01-10,Auvergne-Rhône-Alpes,490423.0,168.0,2738.5932388978495,0.0003425614214667746,0.0
109,2013-01-10,Bourgogne-Franche-Comté,162444.0,179.0,3093.9736339907904,0.0011019181995025977,0.0
110,2013-01-10,Bretagne,158944.0,95.0,1993.5595555667403,0.00059769478558486,0.0
111,2013-01-10,Centre-Val de Loire,141680.0,79.0,1434.6088862224733,0.0005575945793337098,0.0
112,2013-01-10,Grand Est,329121.0,183.0,3086.1634079867285,0.0005560265069685618,0.0
113,2013-01-10,Hauts-de-France,350525.0,173.0,2963.2998616361174,0.0004935453961914272,0.0
114,2013-01-10,Normandie,200916.0,166.0,2749.2145075553963,0.0008262159310358558,0.0
115,2013-01-10,Nouvelle-Aquitaine,317331.0,226.0,4258.738755432025,0.0007121901106415698,0.0
116,2013-01-10,Occitanie,287805.0,185.0,3783.1752749257307,0.0006427963377981619,0.0
117,2013-01-10,Pays de la Loire,190082.0,118.0,2347.4495954377585,0.0006207847139655517,0.0
118,2013-01-10,Provence-Alpes-Côte d'Azur,284001.0,109.0,1939.2843264636392,0.0003838014654877976,0.0
119,2013-01-10,Île-de-France,523950.0,111.0,2587.4465445176065,0.00021185227598053248,0.0
120,2013-01-11,Auvergne-Rhône-Alpes,474810.0,178.0,2997.01712685074,0.00037488679682399275,0.0
121,2013-01-11,Bourgogne-Franche-Comté,153553.0,172.0,3145.1212545505464,0.0011201344161299357,0.0
122,2013-01-11,Bretagne,162372.0,90.0,1848.7624713620576,0.0005542827581110043,0.0
123,2013-01-11,Centre-Val de Loire,135151.0,85.0,1618.1345680017166,0.0006289261640683384,0.0
124,2013-01-11,Grand Est,319475.0,208.0,3613.6815462868767,0.0006510681586978636,0.0
125,2013-01-11,Hauts-de-France,356768.0,172.0,2894.616602385864,0.0004821060184769934,0.0
126,2013-01-11,Normandie,201029.0,180.0,2979.400285530943,0.0008953932019758342,0.0
127,2013-01-11,Nouvelle-Aquitaine,308992.0,211.0,4083.3845471727427,0.000682865575807788,0.0
128,2013-01-11,Occitanie,263197.0,182.0,4069.804260686862,0.0006914972435096145,0.0
129,2013-01-11,Pays de la Loire,188757.0,120.0,2403.9943419316896,0.0006357380123651042,0.0
130,2013-01-11,Provence-Alpes-Côte d'Azur,280801.0,104.0,1871.412594684492,0.00037036905139226713,0.0
131,2013-01-11,Île-de-France,516679.0,112.0,2647.496925557261,0.00021676901906212561,0.0
132,2013-01-12,Auvergne-Rhône-Alpes,439916.0,175.0,3180.2215081970194,0.00039780321697778666,0.0
133,2013-01-12,Bourgogne-Franche-Comté,138631.0,165.0,3341.879918632918,0.0011902099818943816,0.0
134,2013-01-12,Bretagne,147365.0,95.0,2150.2007260882842,0.0006446578224137346,0.0
135,2013-01-12,Centre-Val de Loire,126302.0,92.0,1874.099190828332,0.0007284128517363145,0.0
136,2013-01-12,Grand Est,286812.0,192.0,3715.58612610351,0.0006694280574034559,0.0
137,2013-01-12,Hauts-de-France,338496.0,178.0,3157.293510115334,0.000525855549253167,0.0
138,2013-01-12,Normandie,191409.0,189.0,3285.598655235647,0.0009874143849035312,0.0
139,2013-01-12,Nouvelle-Aquitaine,297770.0,220.0,4418.011082379017,0.0007388252678241596,0.0
140,2013-01-12,Occitanie,262793.0,196.0,4389.604045769865,0.0007458341736652042,0.0
141,2013-01-12,Pays de la Loire,164443.0,109.0,2506.4922617563534,0.0006628436601132308,0.0
142,2013-01-12,Provence-Alpes-Côte d'Azur,278107.0,106.0,1925.8781404279648,0.00038114826307859926,0.0
143,2013-01-12,Île-de-France,491255.0,90.0,2237.5553022361096,0.0001832042421960082,0.0
144,2013-01-13,Auvergne-Rhône-Alpes,418194.0,177.0,3383.643101048796,0.00042324854015122175,0.0
145,2013-01-13,Bourgogne-Franche-Comté,130247.0,154.0,3319.863628336929,0.0011823688837362858,0.0
146,2013-01-13,Bretagne,151692.0,84.0,1846.9977058776994,0.0005537536587295308,0.0
147,2013-01-13,Centre-Val de Loire,123684.0,85.0,1768.1551777109407,0.000687235212315255,0.0
148,2013-01-13,Grand Est,277442.0,200.0,4001.1166297820805,0.0007208713893354287,0.0
