,year,Code INSEE région,Consommation (MW),Thermique (MW),Nucléaire (MW),Eolien (MW),Solaire (MW),Hydraulique (MW),Pompage (MW),Bioénergies (MW),Ech. physiques (MW)
94,2020,84,123542898.0,5032040.0,154313564.0,2225673.0,2844689.0,58153244.0,-7682432.0,2092364.0,-93436524.0
95,2020,93,77398390.0,13774976.0,0.0,185088.0,3971945.0,22134024.0,-155256.0,1480818.0,36008638.0
96,2021,11,62658163.0,2092948.0,0.0,260081.0,110411.0,48125.0,0.0,969471.0,59176939.0
97,2021,24,17435650.0,453744.0,61846362.0,2847476.0,393982.0,170183.0,0.0,431893.0,-48707885.0
98,2021,27,19044544.0,765013.0,0.0,1966533.0,307299.0,1019757.0,-39175.0,305910.0,14719762.0
99,2021,28,25352167.0,3123920.0,51274242.0,1797763.0,168097.0,83825.0,0.0,520631.0,-31616413.0
100,2021,32,44522936.0,8747498.0,28518342.0,10396841.0,182469.0,13570.0,0.0,845177.0,-4181958.0
101,2021,44,39629185.0,5914777.0,47967244.0,7968225.0,622307.0,6596020.0,-595582.0,893266.0,-29737303.0
102,2021,52,24683101.0,3818021.0,0.0,2261566.0,567231.0,29549.0,0.0,354011.0,17652049.0
103,2021,53,21421748.0,1142387.0,0.0,1952420.0,204634.0,546678.0,-59434.0,345778.0,17289964.0
104,2021,75,38680024.0,906886.0,34860082.0,2653760.0,2894608.0,4433255.0,0.0,1155935.0,-8224912.0
105,2021,76,33509739.0,371436.0,16396449.0,3534663.0,2147455.0,11862393.0,-1140086.0,587943.0,-251292.0
106,2021,84,58050468.0,2309530.0,67049568.0,1123763.0,1097421.0,26222301.0,-2953293.0,847696.0,-37646215.0
107,2021,93,35736802.0,6118153.0,0.0,197160.0,1597073.0,8110967.0,-64382.0,658907.0,19119878.0
